Number of buyers,Pure buyer profits,Pure seller profits,Leveled commitment buyer profits,Leveled commitment seller profits
11,4.11791163601984,27.26360828210253,-0.33530749398457266,17.84598537720095
12,4.144204468029924,29.681278550676677,0.05038173661119929,22.32762250362328
13,3.0800120213507913,25.60714333120974,0.10591686015935275,20.6615309440931
14,3.1007997248637182,27.465293068325963,-0.5745706614160374,20.864609105110947
15,2.537519099631471,30.99045215977708,0.5126565132825543,23.292794025670627
16,1.9223767562286147,34.70647573493348,-0.08137492321492114,25.512494817235556
17,2.101532841702422,38.47089893187706,0.2653824941493902,27.704494073135155
18,1.3663497396572715,32.547029027305,0.29382113925099157,29.39126465245014
19,1.4378175289214807,37.30277098690327,-0.22114169439040265,25.15349910499959
20,0.9985227518415621,34.357066269199095,0.0571517557986952,26.999614011037306
21,1.3486316653409904,36.77313844259259,-0.14140790219376725,28.272781876981178
22,0.9915955202835129,35.86406611278203,0.15816107570387292,26.790513348600307
23,0.839293463262675,34.756397240560354,-0.1245344550460842,27.19371350640985
24,0.8654099927322915,37.71389884629806,0.3703146923257771,32.320850962477834
25,0.5901524542225964,31.965458228628822,0.30557025535931004,27.003782074490033
26,0.7675271787415232,37.53202258473669,0.23902181905146713,30.464001354494528
27,0.6602042608750419,37.164971519414145,0.3278588694689984,30.152334436904578
28,0.6353179295364286,34.71425619798191,0.011420928489581159,30.78721023095989
29,0.5180838094342182,35.725421445587905,0.009718352685240291,32.01066182927757
30,0.5755710657030462,40.18786597634543,-0.1291328876069363,30.590221662063048
31,0.3981204378870676,29.565283685234796,0.08994673968800189,28.77543343205136
32,0.5764600557862551,40.09958650469868,0.2353921351232362,36.10002973865255
33,0.4487978310677181,37.085980313357005,0.3248550999687615,37.745005389150506
34,0.4221826930302134,38.21887270713789,0.058863489747639594,30.023077444708033
35,0.31401607964613143,30.50549414408258,0.0982877985791853,31.188925023195974
36,0.33285572953934167,35.82554133929396,0.19929182582110827,34.24851725637178
37,0.31653693840227015,37.10293826003062,0.24757550177554424,37.18249081294458
38,0.27947273706713077,38.61612384482961,0.07096626516711632,33.897031620101416
39,0.2803866295034776,36.723444204619305,0.1535388002695034,32.62721970065633
40,0.2475083355759936,35.6787016770986,0.016018550392916667,38.090198321768014
41,0.25322784812332605,37.27745685940264,0.09808668706649727,37.87961838546866
42,0.20850585678673875,36.46887419385803,0.09121509009382513,32.7466734498094
43,0.1996064098075868,32.800001553454706,0.1700734921379006,30.571001131274528
44,0.22407283588268662,41.01385487806313,-0.06127771234265066,31.363519730112678
45,0.1923325834266194,38.66517267556096,0.030160520702085664,29.82948329751018
46,0.18960728411239844,38.196854287587016,0.06662236788193703,33.991778663684606
47,0.1468288488154812,31.493189112945455,0.06519881859863393,29.211459970788184
48,0.24067066713432114,40.351834392210364,0.002338958023945346,33.28339143207688
49,0.14695093036836332,33.490294671187456,0.1500533133232805,34.5741658024485
50,0.20415642268479584,40.73263823453555,0.1481854546830323,31.37232341725927
51,0.14067740126323974,30.14018249137161,0.10933511204892048,30.143993632024923
52,0.1389567022810726,35.273252686260044,0.04272117947984854,31.58147804078881
53,0.14570455542894764,37.40677096649725,0.08001733202707301,30.352178983930017
54,0.14944665941442148,38.20336198017615,-0.09242882089207036,29.25929821580471
55,0.11843651320457563,34.47942107437201,0.11645552108923252,36.73818432110643
56,0.11511476384081007,29.224716250155296,0.05300900467614508,30.94709483110778
57,0.13938100274786874,38.743389700997945,0.021069424471456256,30.784962083281464
58,0.10452672091159747,34.69550711717383,0.05749751363087877,41.835447028156416
59,0.08786298038587026,31.065169589016516,-0.008897932055109102,32.33407735745166
60,0.12533953347283786,35.20064258289065,0.03521509979191226,37.07799086321824
